,y_bad
892,0
587,0
848,0
693,0
833,0
678,0
295,1
214,0
49,0
91,0
381,1
287,0
178,0
108,0
741,0
173,0
133,0
195,1
500,1
567,0
405,1
345,0
112,0
52,0
924,1
568,0
23,0
671,0
194,1
542,1
697,0
191,1
62,1
391,0
38,0
646,0
440,0
974,0
998,1
48,0
143,1
971,0
65,0
764,0
932,0
788,1
458,0
732,0
434,0
620,0
973,1
119,0
942,0
711,1
655,0
720,1
69,0
278,1
465,0
705,0
235,1
323,0
262,0
888,0
395,0
725,0
135,0
422,0
665,0
334,1
117,0
688,0
628,0
469,0
336,0
273,1
608,0
41,0
150,0
128,0
682,0
976,0
400,0
686,0
573,0
260,0
466,1
454,1
681,0
529,0
872,0
39,0
526,0
425,0
106,1
32,0
442,0
378,1
351,1
621,1
911,1
58,0
15,1
6,0
613,0
166,1
724,1
826,1
221,0
907,0
416,1
113,1
802,0
488,0
563,1
22,0
969,0
34,0
8,0
882,0
540,1
497,0
212,1
97,0
63,1
205,0
785,0
57,0
975,0
774,0
707,1
169,1
957,0
729,0
694,0
995,0
878,1
776,0
120,1
141,0
115,0
749,0
304,1
279,0
886,0
409,1
768,0
172,1
109,0
832,1
487,0
389,0
332,1
99,0
100,0
411,0
735,0
436,0
429,1
224,0
977,0
813,1
507,1
961,0
759,1
414,1
230,1
355,1
330,0
140,0
18,1
762,0
284,0
847,0
816,0
136,0
125,0
561,1
946,1
372,0
590,0
999,0
513,0
17,0
897,0
341,0
145,0
50,0
269,0
981,1
428,0
553,0
575,0
661,1
196,0
317,0
630,0
30,0
327,0
576,0
756,0
812,1
861,1
855,0
994,0
719,0
927,1
905,0
174,1
275,0
346,0
159,0
309,0
766,1
189,0
394,0
611,1
110,0
1,1
739,1
534,0
199,1
609,0
463,0
870,0
857,0
877,0
731,1
494,0
783,1
866,0
182,1
198,0
80,1
478,0
291,1
404,0
36,0
653,1
368,1
277,0
472,1
397,0
274,1
844,0
333,1
935,1
464,0
213,1
509,0
610,1
383,0
959,0
266,0
510,1
328,0
789,1
484,0
777,0
717,0
798,0
77,0
982,0
227,1
139,0
938,1
377,0
650,0
784,0
206,0
320,1
771,1
617,0
562,0
53,0
836,0
357,1
726,0
33,0
81,0
460,0
920,0
859,0
76,1
242,1
348,0
639,1
634,1
638,0
74,1
305,0
910,0
702,0
456,0
518,0
444,1
808,0
130,0
913,0
144,0
297,0
728,1
127,1
237,1
424,1
471,1
446,1
156,0
810,0
659,0
582,0
676,0
799,0
612,0
321,1
111,0
371,0
546,0
627,1
880,0
423,0
837,0
623,0
970,0
829,0
92,1
773,0
204,0
126,0
167,0
931,1
386,0
843,0
379,0
966,1
376,0
605,0
708,0
310,0
164,0
925,1
511,0
544,0
664,0
632,0
356,0
581,0
527,0
748,0
983,1
78,0
89,1
402,1
250,0
238,0
894,0
503,1
624,1
366,0
875,0
669,0
157,0
990,0
769,0
934,0
70,0
314,0
417,0
251,0
152,0
31,0
477,0
300,0
852,0
47,0
685,0
318,0
79,0
240,1
960,0
137,1
584,0
677,1
264,0
750,0
940,0
470,1
155,1
